"subjID"	"trial"	"rt"	"choice"	"stimulus_type"	"subtlex"
1	1	1.38574745902726	2	2	1.15764769241699
1	2	1.48163960777135	1	1	-0.10135020308878
1	3	1.26216263825739	2	2	1.16577797343131
1	4	1.38516919719441	2	2	-0.705777932230705
1	5	1.14025677579413	2	2	0.333218902743655
1	6	1.36328327294326	1	1	1.21089107336423
1	7	1.46035175167547	2	2	0.63908321995092
1	8	1.24191476175971	2	2	0.576624836154362
1	9	1.27682090225771	1	2	-0.0818518121522704
1	10	3.45215454667487	1	1	0.917440580370093
1	11	1.51333563421695	2	1	0.112248851121239
1	12	2.0883291089294	2	2	-0.383095242426169
1	13	1.25550963900565	2	2	0.234560523199613
1	14	1.59721786732548	1	1	0.124517863342121
1	15	1.18334636563952	2	2	-0.423395657911229
1	16	1.4823703438696	2	2	0.174104872163155
1	17	1.34981796095008	1	2	-0.862108639644757
1	18	1.56862989982066	1	1	0.304192755492498
1	19	1.58271960022439	1	1	-0.166692973684697
1	20	1.24738096640889	2	2	-0.302485757745421
1	21	1.22520403103984	1	1	0.586871727258818
1	22	1.23461865974131	1	1	-2.2347361559605
1	23	1.41651581297351	2	2	0.633549999842554
1	24	1.18934776034053	1	1	-0.66125044525163
1	25	1.49307242215065	2	2	-1.08337268063913
1	26	2.119673376425	2	2	-0.765295944780764
1	27	1.62003256117356	2	1	-1.29947910163651
1	28	1.13069442783386	1	1	0.684457648635014
1	29	1.38318169030322	2	2	0.288846540876767
1	30	1.18776336817065	2	2	0.578742295226038
1	31	1.83432123634367	1	1	0.107738482980202
1	32	1.32041002655187	2	2	-0.406031024547529
1	33	1.99997489022106	1	1	1.5011002625925
1	34	1.23313699285378	1	1	-0.263422375492412
1	35	1.72844367218887	2	2	-0.838911313073446
1	36	1.0732233474529	1	2	-0.425428431207962
1	37	1.15274667094261	1	1	0.835165948467938
1	38	1273.7445497366	1	1	0.462193188517085
1	39	0.963601046171978	2	2	-1.81484947772202
1	40	1.45725026210592	1	2	1.88623195915231
1	41	2.00477121480802	1	1	0.69049317240626
1	42	1.27651886943579	2	2	0.600773760519405
1	43	1.90075513048036	1	1	0.536122141588757
1	44	1.46429353384197	1	1	0.890996925947123
1	45	1.38811974903647	2	2	-0.481637046131288
1	46	1.02149243652103	2	2	2.10407777953912
1	47	1.43488633492191	2	2	-0.621303959922335
1	48	1.15865506254709	1	2	0.46130706814069
1	49	1.52353808839039	1	2	0.56194657097611
1	50	1.63268318046556	2	2	1.60352998380546
1	51	1.35182953653765	1	1	-0.232599244183895
1	52	1.34561780530307	2	2	0.146773787370841
1	53	1.31321508358053	2	2	-0.535258080727938
